Ref,Val,Package,PosX,PosY,Rot,Side
"10uF2","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",41.000000,-62.000000,-90.000000,bottom
"22ohm1","22","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",41.000000,-58.150000,-90.000000,bottom
"22ohm2","22","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",33.000000,-58.150000,-90.000000,bottom
"100nF2","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",33.000000,-62.000000,-90.000000,bottom
"330ohm1","330","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",37.000000,-61.150000,180.000000,bottom
"ESP32-S3-1/S3-2","ESP32-S3-WROOM-1/ESP32-S3-WROOM-2","ESP32-S3-WROOM-1",37.000000,-40.650000,180.000000,bottom
"10Kohm1","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",42.500000,-58.150000,180.000000,top
"10uF1","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",37.000000,-62.650000,0.000000,top
"100nF1","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",37.000000,-60.650000,0.000000,top
"AMS1117-3.3","AMS1117-3.3","SOT-223-3_TabPin2",37.000000,-55.150000,90.000000,top
"LED1","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",31.500000,-58.150000,0.000000,top
"SD_Kart1","Micro_SD_Card_Det_Hirose_DM3AT","microSD_HC_Hirose_DM3AT-SF-PEJM5",37.030000,-38.465000,180.000000,top
"USB-A1","USB_A","USB_A_Molex_48037-2200_Horizontal",38.000000,-76.650000,-90.000000,top
